"id","city_id","type_id","total_area","rooms","ceiling_height","floors_total","living_area","floor","is_apartment","open_plan","kitchen_area","balcony","airports_nearest","parks_around3000","ponds_around3000"
65,"6X8I",F8EM,57.0,3,2.5,5.0,39.0,2,0,0,7.0,,35361.0,0.0,0.0
66,"187Y",IZIQ,34.0,1,2.6,17.0,17.4,8,0,0,11.5,2.0,,,
67,"3I7C",F8EM,31.0,1,2.5,5.0,15.4,4,0,0,7.2,,47675.0,0.0,2.0
68,E836,"9N9J",74.0,3,2.8,5.0,44.0,1,0,0,8.0,2.0,,,
69,"0SI2",F8EM,50.7,2,2.6,5.0,28.9,5,0,0,9.0,2.0,,,
70,"6X8I",F8EM,30.0,1,,5.0,16.0,1,0,0,7.0,,39053.0,1.0,0.0
71,"6X8I",F8EM,57.5,3,2.5,9.0,39.0,8,0,0,6.2,,33623.0,1.0,1.0
72,IQ4Z,F8EM,55.0,2,2.7,3.0,35.5,2,0,0,7.5,1.0,68258.0,3.0,3.0
73,"4T1U",IZIQ,73.8,3,,10.0,44.8,1,0,0,10.4,0.0,53817.0,0.0,3.0
74,FJEG,F8EM,34.0,1,2.5,9.0,19.0,8,0,0,7.1,,26765.0,1.0,1.0
75,"6X8I",F8EM,44.0,2,2.7,23.0,21.0,19,0,0,15.0,2.0,15749.0,0.0,0.0
76,A7AP,F8EM,55.1,3,2.6,5.0,38.4,1,0,0,4.9,,,,
77,"6X8I",F8EM,62.1,3,2.55,5.0,43.5,1,0,0,7.3,0.0,19646.0,1.0,2.0
78,"6X8I",F8EM,37.0,1,,19.0,18.0,6,0,0,10.7,,34324.0,0.0,0.0
79,A7AP,F8EM,55.7,3,2.5,4.0,42.6,4,0,0,7.0,,,,
80,TXOA,"9N9J",79.1,3,3.0,15.0,45.23,1,0,0,11.95,1.0,,,
81,"6X8I",F8EM,68.0,1,,10.0,,6,0,0,,,,,
82,FMVZ,IZIQ,80.5,3,,25.0,,16,0,0,,,12430.0,0.0,0.0
83,"4T1U",IZIQ,41.4,1,2.7,25.0,16.5,20,0,0,10.2,,53554.0,0.0,0.0
84,A7AP,F8EM,43.9,2,,2.0,27.46,1,0,0,5.2,,,,
85,"6X8I",F8EM,46.3,2,3.0,5.0,27.8,5,0,0,8.0,,13334.0,0.0,1.0
86,"24KS",IZIQ,63.0,2,,11.0,36.0,3,0,0,9.0,2.0,26128.0,0.0,0.0
87,"6X8I",F8EM,52.0,2,2.61,9.0,30.0,6,0,0,9.0,2.0,12444.0,0.0,1.0
88,"4UT1",EQUI,33.1,1,,5.0,18.4,1,0,0,6.4,,,,
89,"23CI",EQUI,63.0,3,2.5,5.0,43.0,4,0,0,9.0,,,,
90,"6X8I",F8EM,67.7,3,,9.0,40.0,4,0,0,8.0,1.0,32668.0,0.0,0.0
91,H3PW,IZIQ,54.0,2,,3.0,28.0,1,0,0,8.5,0.0,,,
92,WVV2,EQUI,72.0,2,,12.0,45.0,4,0,0,10.0,,,,
93,"6X8I",F8EM,40.4,1,2.75,9.0,20.0,7,0,0,10.0,1.0,32574.0,1.0,0.0
94,"6X8I",F8EM,29.5,1,2.5,5.0,15.6,2,0,0,5.5,1.0,12921.0,0.0,0.0
95,"6X8I",F8EM,47.0,2,2.75,9.0,28.1,9,0,0,7.0,2.0,10142.0,2.0,1.0
96,"6X8I",F8EM,78.3,3,2.5,15.0,51.0,9,0,0,11.0,,52108.0,0.0,1.0
97,"0SI2",F8EM,146.0,4,,2.0,77.0,2,0,0,13.0,,,,
98,"6X8I",F8EM,80.0,3,,5.0,55.1,3,0,0,11.0,0.0,11248.0,1.0,0.0
99,"6X8I",F8EM,90.0,4,,5.0,67.0,2,0,0,8.0,,23277.0,0.0,0.0
100,"6X8I",F8EM,38.6,1,,9.0,18.0,6,0,0,8.4,2.0,36450.0,0.0,0.0
101,"3CZ4",N8E6,37.0,1,2.75,10.0,12.0,3,0,0,13.0,,,,
102,"6X8I",F8EM,33.0,1,,14.0,18.0,2,0,0,6.2,1.0,49214.0,0.0,0.0
103,"6X8I",F8EM,35.0,1,2.7,25.0,17.0,9,0,0,9.0,,42499.0,0.0,0.0
104,"6X8I",F8EM,77.2,4,2.6,9.0,61.0,1,0,0,6.0,,12403.0,0.0,1.0
105,"6X8I",F8EM,32.0,1,,25.0,15.0,5,0,0,9.0,,52480.0,0.0,1.0
106,"6X8I",F8EM,124.1,5,3.2,4.0,79.4,3,0,0,20.0,0.0,26825.0,1.0,0.0
107,"6823",F8EM,101.0,4,3.0,3.0,73.0,3,0,0,9.0,1.0,20746.0,3.0,3.0
108,"6X8I",F8EM,80.0,3,2.55,10.0,46.0,7,0,0,11.0,1.0,35958.0,0.0,0.0
109,VLGF,F8EM,62.5,2,,5.0,35.5,5,0,0,9.5,,14517.0,1.0,0.0
110,R8HW,"9N9J",72.3,2,,3.0,27.4,2,0,0,23.6,0.0,,,
111,"6X8I",F8EM,40.0,1,,6.0,18.0,1,0,0,10.0,0.0,20062.0,1.0,0.0
112,Y04Q,F8EM,33.3,1,2.55,9.0,19.0,3,0,0,7.0,2.0,,,
113,"4T1U",IZIQ,78.0,3,,27.0,45.4,27,0,0,10.8,2.0,53134.0,0.0,0.0
114,"6X8I",F8EM,21.4,1,2.9,8.0,8.3,7,0,0,6.3,,27089.0,2.0,1.0
115,"6X8I",F8EM,42.0,2,,5.0,27.0,4,0,0,6.5,,43019.0,0.0,0.0
116,"6X8I",F8EM,97.2,3,2.5,16.0,,16,0,0,18.3,5.0,19426.0,0.0,2.0
117,"6X8I",F8EM,84.7,3,3.2,5.0,55.9,4,0,0,8.4,1.0,37889.0,1.0,0.0
118,"6X8I",F8EM,31.0,1,2.5,9.0,17.0,4,0,0,5.0,,35445.0,0.0,2.0
119,"6X8I",F8EM,67.0,3,,6.0,42.5,2,0,0,8.2,2.0,37836.0,1.0,1.0
120,IQ4Z,F8EM,30.9,1,2.75,5.0,16.7,1,0,0,6.0,,68997.0,1.0,2.0
121,"6X8I",F8EM,180.0,3,2.9,9.0,86.0,8,0,0,24.0,4.0,25689.0,1.0,0.0
122,S4Y8,F8EM,60.0,2,2.5,5.0,31.5,2,0,0,9.0,2.0,,,
123,"6X8I",F8EM,48.0,1,,22.0,14.0,5,0,0,23.8,,16951.0,0.0,1.0
124,"6X8I",F8EM,87.8,3,,12.0,45.1,3,0,0,24.0,1.0,32746.0,0.0,1.0
125,"6X8I",F8EM,65.9,3,2.55,9.0,48.5,8,0,0,6.3,,44855.0,0.0,0.0
126,VLGF,F8EM,51.0,2,,5.0,30.5,1,0,0,6.6,,17974.0,1.0,1.0
127,"6X8I",F8EM,55.0,2,2.5,11.0,31.9,3,0,0,8.3,,31398.0,0.0,0.0
128,"3I7C",F8EM,31.0,1,2.75,3.0,19.5,1,0,0,5.0,,48649.0,0.0,2.0
129,"6X8I",F8EM,32.0,1,2.5,9.0,18.0,3,0,0,8.0,,49587.0,1.0,0.0
130,ZYPN,F8EM,49.0,2,2.8,8.0,31.0,8,0,0,6.0,2.0,,,
131,O5K1,F8EM,71.1,3,2.5,5.0,41.9,4,0,0,9.0,2.0,,,
132,YVBQ,F8EM,33.0,1,2.5,9.0,19.0,7,0,0,6.0,,45332.0,0.0,0.0
133,"187Y",IZIQ,31.0,1,,25.0,,6,0,0,,,,,
134,"6X8I",F8EM,33.7,1,2.65,17.0,15.1,3,0,0,7.3,,35452.0,0.0,1.0
135,E66G,F8EM,48.0,1,3.25,5.0,20.5,1,0,0,17.0,,57998.0,0.0,2.0
136,"6X8I",F8EM,51.8,2,3.45,6.0,25.6,2,0,0,7.3,1.0,20502.0,2.0,1.0
137,"6X8I",F8EM,85.1,2,2.7,10.0,31.52,5,0,0,26.85,1.0,31460.0,1.0,3.0
138,"6X8I",F8EM,40.0,2,,3.0,29.0,2,0,0,6.0,,23371.0,0.0,2.0
139,WVV2,EQUI,31.0,1,2.5,5.0,17.0,3,0,0,5.5,1.0,,,
140,VLGF,F8EM,105.7,2,2.7,3.0,48.4,1,0,0,15.4,,14352.0,3.0,3.0
141,"6X8I",F8EM,32.6,1,,5.0,18.5,5,0,0,5.5,,24764.0,0.0,0.0
142,MY8E,"9N9J",86.2,3,2.75,12.0,49.6,9,0,0,17.0,1.0,,,
143,"6X8I",F8EM,30.0,1,2.5,9.0,20.0,9,0,0,5.6,0.0,30067.0,0.0,1.0
144,"187Y",IZIQ,27.0,0,,24.0,15.5,2,0,0,,2.0,,,
145,"6X8I",F8EM,77.0,2,2.77,16.0,40.0,5,0,0,10.0,1.0,30012.0,0.0,1.0
146,E66G,F8EM,53.6,2,2.55,10.0,29.2,10,0,0,7.8,1.0,60883.0,1.0,2.0
147,"6X8I",F8EM,179.6,5,2.85,25.0,97.2,25,0,0,33.8,2.0,19424.0,0.0,1.0
148,"6X8I",F8EM,35.5,1,2.65,25.0,17.0,20,0,0,9.0,,36688.0,0.0,2.0
149,"6X8I",F8EM,53.0,2,2.65,12.0,31.5,6,0,0,7.6,,10128.0,2.0,1.0
150,"6X8I",F8EM,45.0,2,,5.0,29.0,3,0,0,6.0,,39793.0,0.0,0.0
151,"2CQ7",IZIQ,44.9,2,,5.0,28.0,3,0,0,5.4,1.0,,,
152,"6X8I",F8EM,81.22,3,2.64,24.0,42.9,10,0,0,12.72,1.0,17755.0,0.0,1.0
153,YVBQ,F8EM,55.0,2,2.57,9.0,31.2,2,0,0,8.3,0.0,45958.0,1.0,0.0
154,"6X8I",F8EM,80.0,3,4.15,3.0,44.2,2,0,0,12.2,,20562.0,2.0,1.0
155,"6X8I",F8EM,317.0,4,3.5,3.0,183.0,3,0,0,,1.0,22673.0,2.0,3.0
156,"6X8I",F8EM,80.0,2,2.75,22.0,34.0,19,0,0,19.0,2.0,34967.0,0.0,1.0
157,"6X8I",F8EM,75.75,2,2.7,22.0,40.61,3,0,0,15.0,2.0,51531.0,0.0,0.0
158,IVEB,LVBX,47.3,2,,5.0,27.5,2,0,0,8.5,,,,
159,"6X8I",F8EM,66.0,3,3.0,4.0,37.8,4,0,0,11.0,,26235.0,0.0,1.0
160,FMVZ,IZIQ,41.9,1,,7.0,15.4,7,0,0,12.4,2.0,18240.0,0.0,1.0
161,"6X8I",F8EM,42.9,1,2.75,23.0,18.9,8,0,0,7.9,1.0,43269.0,1.0,0.0
162,"6X8I",F8EM,66.0,3,2.5,9.0,48.0,9,0,0,6.3,,45589.0,1.0,0.0
163,"6X8I",F8EM,67.4,3,2.65,17.0,40.1,6,0,0,10.3,1.0,33745.0,0.0,1.0
164,JTQH,EQUI,40.3,2,,3.0,,1,0,0,,2.0,,,
165,E66G,F8EM,60.2,2,2.5,4.0,,2,0,0,10.2,,54526.0,0.0,0.0
166,VVDT,IZIQ,60.0,2,,3.0,,1,0,0,,,,,
167,"6X8I",F8EM,35.1,1,2.75,23.0,15.9,1,0,0,9.8,,22314.0,0.0,1.0
168,OK3M,"9N9J",73.0,3,,5.0,43.4,5,0,0,8.4,,,,
169,"6X8I",F8EM,85.0,3,2.8,17.0,51.8,17,0,0,17.5,0.0,16057.0,0.0,0.0
170,"4ETD",IZIQ,73.5,3,2.6,5.0,46.0,5,0,0,8.0,,,,
171,FMVZ,IZIQ,49.0,2,2.5,9.0,38.0,8,0,0,10.0,1.0,18471.0,0.0,0.0
172,"23CI",EQUI,73.3,3,2.5,5.0,47.4,3,0,0,8.3,2.0,,,
173,"6X8I",F8EM,97.9,3,2.75,16.0,57.7,3,0,0,14.7,1.0,14069.0,0.0,0.0
174,R9I0,F8EM,31.6,1,,5.0,17.5,4,0,0,5.5,1.0,,,
175,BQCG,IZIQ,52.0,2,2.6,5.0,31.0,3,0,0,10.0,1.0,,,
176,"6X8I",F8EM,52.56,1,,24.0,15.36,2,0,0,20.91,,43396.0,0.0,0.0
177,"6X8I",F8EM,154.9,4,3.3,16.0,89.11,3,0,0,21.3,,37434.0,1.0,2.0
178,"6X8I",F8EM,153.0,4,2.71,10.0,89.4,10,0,0,,1.0,52130.0,0.0,2.0
179,"6X8I",F8EM,108.7,3,4.0,5.0,72.4,5,0,0,8.0,,23017.0,1.0,0.0
180,"6X8I",F8EM,31.7,1,2.5,5.0,17.9,2,0,0,5.6,2.0,10709.0,0.0,0.0
181,"6X8I",F8EM,71.8,3,3.0,5.0,38.7,1,0,0,12.0,,22036.0,0.0,1.0
182,R27I,F8EM,60.0,3,2.5,5.0,44.1,1,0,0,6.0,,26090.0,0.0,0.0
183,HJEX,IZIQ,43.8,2,2.7,5.0,27.7,2,0,0,5.5,0.0,31458.0,0.0,0.0
184,"6X8I",F8EM,30.2,1,2.65,9.0,26.1,5,0,0,6.2,,13952.0,0.0,1.0
185,"6X8I",F8EM,49.9,1,3.0,16.0,18.9,14,0,0,10.6,,12114.0,1.0,1.0
186,"6X8I",F8EM,65.2,2,,,30.8,4,0,0,12.0,,39197.0,1.0,0.0
187,"6X8I",F8EM,52.3,2,,12.0,29.8,4,0,0,10.9,,32794.0,0.0,0.0
188,"6X8I",F8EM,38.5,1,2.5,12.0,18.5,5,0,0,,,49065.0,1.0,0.0
189,"6X8I",F8EM,62.0,3,,9.0,41.5,5,0,0,8.5,2.0,41954.0,1.0,0.0
190,"6X8I",F8EM,62.8,3,,9.0,39.7,2,0,0,9.7,0.0,12988.0,0.0,2.0
191,"6X8I",F8EM,55.8,3,2.5,9.0,38.0,2,0,0,7.7,2.0,19386.0,0.0,0.0
192,"187Y",IZIQ,39.4,1,,24.0,19.2,9,0,0,11.0,0.0,,,
193,"6X8I",F8EM,83.8,4,2.47,9.0,55.9,9,0,0,9.8,1.0,30352.0,0.0,1.0
194,"6X8I",F8EM,85.0,3,2.7,10.0,50.0,1,0,0,11.0,,15923.0,0.0,1.0
195,"6X8I",F8EM,60.0,3,,9.0,,4,0,0,,0.0,52072.0,1.0,3.0
196,"6X8I",F8EM,57.0,1,,5.0,20.0,5,0,0,16.0,0.0,17462.0,1.0,2.0
197,W0ZR,F8EM,46.0,2,,5.0,,2,0,0,,1.0,,,
198,Y04Q,F8EM,35.0,1,2.7,17.0,16.1,17,0,0,8.3,2.0,,,
199,"187Y",IZIQ,37.4,1,2.73,12.0,17.0,4,0,0,,,,,
200,"3I7C",F8EM,98.3,3,2.84,13.0,60.3,11,0,0,12.5,1.0,48910.0,0.0,2.0
201,"6X8I",F8EM,123.1,6,3.2,5.0,89.0,2,0,0,11.0,,26009.0,2.0,0.0
202,"6X8I",F8EM,67.0,3,2.7,9.0,43.4,1,0,0,8.8,2.0,15361.0,0.0,0.0
203,"6X8I",F8EM,34.1,1,2.7,25.0,14.47,12,0,0,10.4,0.0,18488.0,0.0,0.0
204,"3I7C",F8EM,44.2,2,2.5,9.0,27.0,3,0,0,6.3,2.0,46926.0,0.0,1.0
205,HJEX,IZIQ,30.6,1,2.56,5.0,17.4,4,0,0,5.7,,31366.0,0.0,0.0
206,"6X8I",F8EM,31.3,1,2.5,7.0,16.0,4,0,0,7.6,1.0,27753.0,1.0,1.0
207,"6X8I",F8EM,72.6,2,2.9,5.0,43.2,4,0,0,11.4,,22794.0,2.0,3.0
208,WBH1,"9N9J",42.5,1,2.6,5.0,17.2,5,0,0,8.4,,,,
209,"6X8I",F8EM,45.0,2,2.5,9.0,27.4,4,0,0,8.6,,42566.0,0.0,0.0
210,FMVZ,IZIQ,58.5,2,,9.0,28.73,7,0,0,11.24,1.0,18309.0,0.0,1.0
211,"6X8I",F8EM,54.0,2,2.77,18.0,31.0,10,0,0,11.0,,7659.0,0.0,0.0
212,"6X8I",F8EM,82.0,3,,23.0,47.0,9,0,0,13.0,1.0,9655.0,1.0,1.0
213,"6X8I",F8EM,111.4,4,3.1,4.0,73.2,2,0,0,14.1,,20936.0,1.0,3.0
214,"6X8I",F8EM,50.41,2,2.5,9.0,31.1,8,0,0,7.0,1.0,41954.0,1.0,0.0
215,Y04Q,F8EM,67.0,3,2.7,9.0,42.2,8,0,0,5.5,,,,
216,"6X8I",F8EM,65.6,2,2.55,10.0,36.7,10,0,0,10.9,2.0,11657.0,1.0,1.0
217,"6X8I",F8EM,79.0,4,2.6,9.0,55.3,6,0,0,10.0,1.0,49666.0,0.0,0.0
218,"6X8I",F8EM,35.0,1,2.7,17.0,16.0,15,0,0,9.8,1.0,36237.0,0.0,0.0
219,"6X8I",F8EM,58.7,1,,7.0,17.0,3,0,0,15.7,,24102.0,1.0,0.0
220,"6X8I",F8EM,37.0,1,2.5,25.0,28.0,6,0,0,9.0,,25408.0,0.0,0.0
221,"6823",F8EM,43.0,2,,4.0,28.0,1,0,0,6.0,,19775.0,2.0,1.0
222,"6X8I",F8EM,59.6,2,,25.0,31.48,17,0,0,13.29,,43074.0,0.0,0.0
223,"3XN0","9N9J",35.4,1,2.6,5.0,18.2,1,0,0,9.8,,,,
224,Y04Q,F8EM,61.4,2,,16.0,34.0,8,0,0,14.0,0.0,,,
225,Y04Q,F8EM,58.9,2,2.6,5.0,31.5,3,0,0,12.9,1.0,,,
226,"6X8I",F8EM,86.4,4,,3.0,52.7,1,0,0,12.7,,31729.0,0.0,0.0
227,N6YS,IZIQ,47.0,3,2.34,5.0,,1,0,0,,,,,
228,Y04Q,F8EM,46.0,1,2.77,4.0,19.3,3,0,0,11.0,,,,
229,"6X8I",F8EM,74.3,3,,24.0,41.9,3,0,0,16.5,,43820.0,0.0,0.0
230,"6X8I",F8EM,34.3,1,,11.0,14.73,7,0,0,9.36,,22425.0,0.0,2.0
231,"6X8I",F8EM,56.9,3,,9.0,38.8,8,0,0,6.2,2.0,32350.0,0.0,0.0
232,"6X8I",F8EM,42.2,1,,14.0,14.7,4,0,0,10.4,,23239.0,1.0,1.0
233,"6X8I",F8EM,118.0,3,2.8,25.0,62.0,3,0,0,21.5,,36827.0,1.0,1.0
234,"6X8I",F8EM,57.0,2,,5.0,33.0,3,0,0,8.0,,26852.0,2.0,0.0
235,FJEG,F8EM,60.0,2,3.4,3.0,37.8,1,0,0,9.0,,25670.0,3.0,3.0
236,"6X8I",F8EM,35.8,1,2.5,14.0,20.3,2,0,0,7.7,0.0,46532.0,0.0,0.0
237,"6X8I",F8EM,28.1,1,,,20.75,1,0,0,,0.0,22041.0,0.0,1.0
238,"6X8I",F8EM,43.4,1,,24.0,,2,0,0,12.4,2.0,23982.0,0.0,0.0
239,"6X8I",F8EM,119.0,3,3.5,5.0,56.0,3,0,0,35.0,0.0,21698.0,1.0,1.0
240,"6X8I",F8EM,42.0,2,2.7,5.0,27.0,2,0,0,6.0,1.0,11944.0,0.0,0.0
241,"6X8I",F8EM,55.0,2,2.8,16.0,29.0,6,0,0,10.0,2.0,41841.0,1.0,0.0
242,"6X8I",F8EM,57.0,2,,6.0,29.0,5,0,0,10.0,,9226.0,1.0,0.0
243,O5K1,F8EM,36.2,1,2.5,4.0,20.0,1,0,0,9.0,1.0,,,
244,"6X8I",F8EM,57.1,2,,9.0,29.5,4,0,0,9.0,0.0,9774.0,1.0,0.0
245,"6X8I",F8EM,46.4,1,2.5,16.0,18.0,5,0,0,11.5,1.0,9968.0,0.0,0.0
246,"6X8I",F8EM,52.5,2,2.6,14.0,29.5,11,0,0,7.5,2.0,13787.0,0.0,0.0
247,LV8Y,F8EM,31.0,1,,3.0,,1,0,0,,,,,
248,"6X8I",F8EM,31.0,1,3.0,17.0,10.0,6,0,0,,0.0,39771.0,1.0,0.0
249,R27I,F8EM,70.5,3,2.65,9.0,44.9,9,0,0,10.5,1.0,25594.0,0.0,0.0
250,Y04Q,F8EM,51.7,2,2.65,16.0,29.2,5,0,0,7.7,4.0,,,
251,"3SXT",F8EM,34.0,1,2.6,9.0,17.0,9,0,0,8.0,,,,
252,"6X8I",F8EM,43.0,1,2.8,16.0,17.0,11,0,0,12.5,,39771.0,1.0,0.0
253,"6X8I",F8EM,37.0,1,,5.0,19.0,4,0,0,10.0,,47303.0,1.0,1.0
254,"6X8I",F8EM,31.2,1,2.5,9.0,15.6,9,0,0,8.2,0.0,46911.0,0.0,0.0
255,"0SI2",F8EM,40.2,1,2.7,3.0,19.0,2,0,0,9.0,2.0,,,
256,"6X8I",F8EM,65.6,3,2.5,9.0,42.8,2,0,0,9.5,2.0,12975.0,0.0,0.0
257,Y04Q,F8EM,58.0,3,,9.0,38.5,1,0,0,6.1,2.0,,,
258,WUMG,EL2E,53.1,2,2.6,3.0,29.0,1,0,0,8.7,,,,
259,"8HJY",F8EM,30.0,1,2.5,5.0,15.0,4,0,0,5.0,1.0,,,
260,"6X8I",F8EM,102.4,3,,8.0,53.2,3,0,0,19.3,1.0,39393.0,1.0,0.0
261,"187Y",F8EM,83.69,4,,17.0,40.59,7,0,0,21.4,,,,
262,"6X8I",F8EM,158.0,4,,12.0,88.0,4,0,0,40.0,,25799.0,0.0,2.0
